iter	Logloss
0	0.6613968291
1	0.6360635564
2	0.6160702598
3	0.600154793
4	0.5874580717
5	0.5771613226
6	0.5689713987
7	0.5624707252
8	0.5572345077
9	0.5530147311
10	0.5496930007
11	0.5469802602
12	0.5448386964
13	0.5430636207
14	0.5416740396
15	0.5405744088
16	0.5396864964
17	0.5388977883
18	0.538292276
19	0.5377810318
20	0.5373950292
21	0.5370915335
22	0.5368247587
23	0.5365773094
24	0.5363780705
25	0.536234987
26	0.53610419
27	0.5360054099
28	0.5359170735
29	0.535835545
30	0.5357676944
31	0.5357119038
32	0.535664161
33	0.535626951
34	0.5355859963
35	0.5355485665
36	0.5355071036
37	0.5354858338
38	0.5354460088
39	0.5354190777
40	0.5354102162
41	0.5353854658
42	0.535378583
43	0.5353668482
44	0.5353595936
45	0.5353517504
46	0.5353445786
47	0.5353185964
48	0.535302592
49	0.5352968998
50	0.5352844496
51	0.5352790322
52	0.5352613554
53	0.5352562229
54	0.5352381193
55	0.5352277432
56	0.5352203457
57	0.5352161754
58	0.5352095915
59	0.5351944462
60	0.5351919649
61	0.5351800372
62	0.5351670784
63	0.5351570556
64	0.5351506005
65	0.5351468726
66	0.5351396081
67	0.5351277941
68	0.5351178038
69	0.5351151435
70	0.5351026886
71	0.5350987821
72	0.5350910522
73	0.5350865574
74	0.5350772733
75	0.5350719104
76	0.5350597951
77	0.5350558907
78	0.535044423
79	0.5350337915
80	0.5350271678
81	0.5350232868
82	0.5350192045
83	0.5350149802
84	0.5350016026
85	0.5349997436
86	0.5349950203
87	0.5349862296
88	0.5349719461
89	0.5349686902
90	0.5349651296
91	0.5349628773
92	0.5349533044
93	0.5349458225
94	0.5349438832
95	0.5349408069
96	0.5349270121
97	0.5349257737
98	0.5349163657
99	0.5349094959
100	0.5349019934
101	0.5348974499
102	0.5348876577
103	0.5348828787
104	0.5348779707
105	0.5348745922
106	0.5348685808
107	0.5348668494
108	0.5348565231
109	0.534846211
110	0.5348380068
111	0.5348313727
112	0.5348169427
113	0.5348088591
114	0.5348038584
115	0.5347978469
116	0.5347871086
117	0.5347845212
118	0.5347781776
119	0.5347725174
120	0.5347552744
121	0.5347494324
122	0.5347421605
123	0.5347325239
124	0.5347195308
125	0.5347116692
126	0.5346950059
127	0.5346745972
128	0.5346565338
129	0.5346364385
130	0.534618593
131	0.534601066
132	0.5345822537
133	0.5345722276
134	0.5345620709
135	0.5345538003
136	0.5345313871
137	0.5345220371
138	0.5345116571
139	0.5345020792
140	0.5344984176
141	0.5344892029
142	0.5344834694
143	0.5344720715
144	0.5344668598
145	0.5344556895
146	0.5344408774
147	0.5344352328
148	0.5344262175
149	0.5344139892
150	0.5343909415
151	0.5343845008
152	0.5343769818
153	0.5343671178
154	0.5343592796
155	0.5343510907
156	0.5343320419
157	0.5343264593
158	0.5343238553
159	0.534317332
160	0.53429885
161	0.5342813581
162	0.5342701805
163	0.5342562289
164	0.5342479382
165	0.5342360742
166	0.5342297016
167	0.5342226245
168	0.5342177282
169	0.5342071054
170	0.5342025624
171	0.5341969446
172	0.5341939424
173	0.5341843524
174	0.5341806973
175	0.5341791308
176	0.5341694594
177	0.5341656338
178	0.5341626563
179	0.5341534014
180	0.5341311762
181	0.5341217078
182	0.5341150377
183	0.5341115108
184	0.534110355
185	0.5341033984
186	0.5340970955
187	0.5340780196
188	0.5340749404
189	0.5340666058
190	0.5340600696
191	0.5340493623
192	0.5340355981
193	0.5340209498
194	0.53401861
195	0.5340092705
196	0.5339997368
197	0.5339960057
198	0.5339914279
199	0.533989208
