scope,model,variant,threshold,accuracy,precision,recall,f1,roc_auc
global,RandomForest,baseline_default0.5,0.5,0.6412509211627757,0.44113687359760656,0.059750785128153176,0.10524625267665955,0.5394496233701789
global,RandomForest,baseline_tuned,0.1,0.354992881110976,0.35295728960173006,0.9920778036673082,0.520672054444917,0.5394496233701789
global,RandomForest,balanced_default0.5,0.5,0.548633817226996,0.3816492570758782,0.4486070306959781,0.41242816827948475,0.5386478440240193
global,RandomForest,balanced_tuned,0.1,0.35479970522791177,0.35299243788260715,0.9930706108803566,0.5208469488058234,0.5386478440240193
global,LightGBM,baseline_default0.5,0.5,0.6468816404209803,0.0,0.0,0.0,0.5464057458519747
global,LightGBM,baseline_tuned,0.25,0.3576544154998605,0.3541403572072885,0.9943268159254381,0.5222689299207152,0.5464057458519747
global,LightGBM,balanced_default0.5,0.5,0.5204802209359729,0.38132598911802246,0.5750987741870125,0.4585830842555942,0.5464050076813555
global,LightGBM,balanced_tuned,0.1,0.35311835957901966,0.35311835957901966,1.0,0.5219327002389966,0.5464050076813555
django,RandomForest,baseline_default0.5,0.5,0.566611354746948,0.598647971957937,0.741242120491888,0.6623574495590748,0.5592686069335063
django,RandomForest,baseline_tuned,0.1,0.5726561574019201,0.573331747353396,0.9961765009817092,0.7277943452493298,0.5592686069335063
django,RandomForest,balanced_default0.5,0.5,0.5338390423136186,0.6212993971868721,0.4792807688333161,0.5411270563528177,0.5611308484846997
django,RandomForest,balanced_tuned,0.1,0.5724783690885386,0.5732730409948236,0.9956598119251834,0.7276091224890501,0.5611308484846997
django,LightGBM,baseline_default0.5,0.5,0.5863458575322982,0.5993809418527526,0.8404464193448383,0.6997332874473028,0.573321673405162
django,LightGBM,baseline_tuned,0.4,0.5740784639089724,0.5741071428571428,0.996693190038235,0.7285568606715263,0.573321673405162
django,LightGBM,balanced_default0.5,0.5,0.5535735450989688,0.6183745583038869,0.5786917433088767,0.5978754070357124,0.5733102799699431
django,LightGBM,balanced_tuned,0.30000000000000004,0.5740784639089724,0.5741071428571428,0.996693190038235,0.7285568606715263,0.5733102799699431
scikit-learn,RandomForest,baseline_default0.5,0.5,0.753386391187477,0.32947976878612717,0.05131667792032411,0.08880233690360273,0.5693987650253366
scikit-learn,RandomForest,baseline_tuned,0.1,0.27001528487851156,0.23648383662950306,0.950033760972316,0.378700879239189,0.5693987650253366
scikit-learn,RandomForest,balanced_default0.5,0.5,0.6084962841933274,0.28202132320724405,0.43461625028134143,0.3420726306465899,0.5626565540201116
scikit-learn,RandomForest,balanced_tuned,0.30000000000000004,0.30021609655826703,0.23857717803030304,0.9072698627053792,0.37780589530905856,0.5626565540201116
scikit-learn,LightGBM,baseline_default0.5,0.5,0.7658251199072366,0.0,0.0,0.0,0.5829369149240538
scikit-learn,LightGBM,baseline_tuned,0.15000000000000002,0.2976334791545881,0.2430431009545849,0.945532297996849,0.38668998527245957,0.5829369149240538
scikit-learn,LightGBM,balanced_default0.5,0.5,0.567279818689717,0.2843238291537845,0.5588566284042313,0.3768973891924711,0.5829174436956981
scikit-learn,LightGBM,balanced_tuned,0.4,0.337532282717546,0.24748290863890615,0.8962412784154851,0.3878634393415477,0.5829174436956981
