repo,commit,file,loc,buggy,y_true,y_pred,proba_buggy
pandas,a4c63d63930641e03061897772d26868d3f5d06b,pandas/core/generic.py,13062.0,0,0,1,0.6118803332100368
pandas,34f39a9b053703e39f58ad1d1edc559c2465cf78,pandas/core/generic.py,13678.0,0,0,1,0.6118803332100368
pandas,65bca652cffaac5058dd216e6f905f7dc7cdfc0d,pandas/core/generic.py,12618.0,0,0,1,0.6118803332100368
pandas,452064d9e803f30efc961438ace86083c7c7d02b,pandas/core/generic.py,12286.0,0,0,1,0.6118803332100368
pandas,5344107b8c53d1f176717a257e4df9644364a7d5,pandas/core/frame.py,12081.0,0,0,1,0.6118803332100368
pandas,b3ea5f4bb535c8d4fe232fa3994bfa0ef79c5ef7,pandas/core/frame.py,12557.0,0,0,1,0.6118803332100368
pandas,fb677c87e22e984c14380bfc515e30c1443366bd,pandas/tests/test_frame.py,15535.0,0,0,1,0.6118803332100368
pandas,fe85cbfb20f3f360ebba62905b93a6f98bf655c1,pandas/core/generic.py,12567.0,0,0,1,0.6118803332100368
pandas,db9128d70da274e4b6c51fe7b4c93ad9b8a506a2,pandas/tests/test_frame.py,13958.0,0,0,1,0.6118803332100368
pandas,1a3f522397507e4cd14046da475b7775bb6170fe,pandas/core/generic.py,13217.0,0,0,1,0.6118803332100368
pandas,a6ee127e94ab72d5a5ee0ad0febeaaee66975b09,pandas/tests/test_frame.py,16136.0,0,0,1,0.6118803332100368
pandas,2806e7de2c245fdbbf501b5248cce60d2f66f906,pandas/core/generic.py,11847.0,0,0,1,0.6118803332100368
pandas,68e5c591c7459350001b69e9619bd20e27d39e2f,pandas/tests/test_frame.py,14346.0,0,0,1,0.6118803332100368
pandas,33fbcbb3d54251f63f189edce7f8074303d09f6c,pandas/tests/test_frame.py,12116.0,0,0,1,0.6118803332100368
pandas,efd15b7191c0fea41eb5fc10a8667dd33296d508,pandas/core/frame.py,11928.0,0,0,1,0.6118803332100368
pandas,3475d834cdc103d217457a27e2c9c4ec6aca873f,pandas/core/generic.py,12879.0,0,0,1,0.6118803332100368
pandas,b9980b66b86489f0df88e09a93529d98e6371135,pandas/core/frame.py,11623.0,0,0,1,0.6118803332100368
pandas,bf731cce122b32d0ba0e7bbb74bbbe1c5fd13c17,pandas/core/generic.py,12398.0,0,0,1,0.6118803332100368
pandas,14e09c47d55c07672d127b34e25018e89549c124,pandas/core/generic.py,12146.0,0,0,1,0.6118803332100368
pandas,1418ce81e03f3b17311e19158f62672fab55f904,pandas/core/generic.py,11529.0,0,0,1,0.6118803332100368
pandas,baf98b87088c673fa5089445060f2e3d5c4b6a95,pandas/core/frame.py,12765.0,0,0,1,0.6118803332100368
pandas,d4976d4d7b63979ff01f277fabc47f92dc3996fb,pandas/core/frame.py,12350.0,0,0,1,0.6118803332100368
pandas,0d0daa8466d257c3329c54633a9a98867c86d009,pandas/core/generic.py,11719.0,0,0,1,0.6118803332100368
pandas,4a5569fb1eac53e75be31bee81fb49077ce0f1c7,pandas/tests/test_frame.py,17063.0,0,0,1,0.6118803332100368
pandas,da849a95646717013c93838cc798dcc31aee2290,pandas/core/generic.py,13524.0,0,0,1,0.6118803332100368
pandas,64b6fee7c54e925d5f0b0433af0b829d7b435707,pandas/tests/test_frame.py,17183.0,0,0,1,0.6118803332100368
pandas,c426dc0d8a6952f7d4689eaa6a5294aceae66e1e,pandas/core/frame.py,11542.0,0,0,1,0.6118803332100368
pandas,0ed46a0786f226ada80cfc8bf8795ff715625025,pandas/tests/test_frame.py,15636.0,0,0,1,0.6118803332100368
